Model,R2_Before,RMSE_Before,MAE_Before,R2_After,RMSE_After,MAE_After
LinearRegression,0.5380261169820862,50.64075062505361,40.359321802189854,0.5448848431650919,49.56159151404426,39.82411214867907
GradientBoosting,0.5201708166673318,51.61010605761243,41.79070471418789,0.5283648475447438,50.45307931882583,41.1630869741507
RandomForest,0.515063936477204,51.88402545622459,42.686561749999974,0.5109913102923627,51.37394100296208,42.503894969999976
KNN,0.27361211633071547,63.500291375237026,51.53717,0.31984575340553745,60.58823501253959,48.3180826
MLP,0.26898392950166106,63.702266498727525,49.47388705538599,0.389415026835092,57.40604806191174,45.24621916745034
SVR,0.1721675470219789,67.78953365113372,54.02215998544105,0.19396720408355972,65.95700862960562,52.969434706197546
