Model,R2_Untuned,RMSE_Untuned,MAE_Untuned,R2_Tuned,RMSE_Tuned,MAE_Tuned,BestParams,CV_BestScore,Delta_R2
SVR,0.21457640525947952,65.47595271416658,52.98854898320087,0.6039830146018108,46.492913390908726,38.663617399173106,"{'model__C': 850, 'model__epsilon': 0.5, 'model__gamma': 0.0025, 'model__kernel': 'rbf'}",0.5415398404059777,0.3894066093423313
KNN,0.38399150225347645,57.98600733800552,47.36529079999998,0.4523681831885701,54.67316184917596,44.52762177362963,"{'model__n_neighbors': 16, 'model__p': 2, 'model__weights': 'distance'}",0.42356292631581693,0.06837668093509364
MLP,0.5296379567822449,50.66942648795472,41.741147079062394,0.5766105563125536,48.07284970161613,38.80768105445561,"{'model__activation': 'relu', 'model__alpha': 0.01, 'model__early_stopping': True, 'model__hidden_layer_sizes': (128,), 'model__learning_rate_init': 0.003, 'model__max_iter': 900}",0.4803576449987773,0.046972599530308745
GradientBoosting,0.5401454965883236,50.100271170767975,40.39249040582686,0.5657143911992328,48.68751105214026,39.098175223931946,"{'model__learning_rate': 0.02, 'model__loss': 'huber', 'model__max_depth': 1, 'model__min_samples_leaf': 25, 'model__n_estimators': 1100, 'model__subsample': 0.75}",0.516222119574348,0.025568894610909276
RandomForest,0.508269038956614,51.807618787852064,42.408804934999964,0.5130382296144345,51.55577128505701,42.24219942237103,"{'model__max_depth': 10, 'model__max_features': 0.8, 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__n_estimators': 1100}",0.4960957569838147,0.0047691906578204435
